MD,date_time_pd,CT_INC,CT_AZI,ST_INC,ST_AZI,GX,GY,GZ,BX,BY,BZ,CC_RPM,RPM_LT,RPM_UT,RX,RY,AXLSHKPEAK,AXLSHKRMS,RADSHKRMS,RADSHKPEAK,mwd_md,date_time_mwd,mwd_incl,mwd_azim
1560.0065,2025-02-04 08:00:00.000,22.49916,18.86655,22.53169,18.23085,-0.3610966,0.3600082,-0.9237971,-0.8106573,0.4327138,0.1228456,83.6128,35.9181,54.8579,0.2707511,-0.9480403,0.508976,0.136499,0.116548,0.322675,1560.0100,2025-02-04 08:00:00.000,22.50881,18.36263
1560.0123,2025-02-04 08:00:00.200,22.51759,242.73732,,,-0.3956837,-0.8685124,-0.1524744,-0.8134263,0.0557570,-0.4435765,85.2121,39.6311,57.5967,-0.9497108,-0.0969518,,,,,1560.0224,2025-02-04 08:00:00.200,22.55190,243.04492
1560.0185,2025-02-04 08:00:00.400,22.53056,136.25142,,,-0.3904727,0.0744726,0.9317552,-0.7893254,-0.4670834,0.0011870,82.6660,41.3227,58.0525,0.0488879,0.9848070,,,,,1559.9936,2025-02-04 08:00:00.400,22.49735,136.59727
1560.0244,2025-02-04 08:00:00.600,22.51712,55.34302,,,-0.3656824,0.9034108,-0.1111992,-0.7995219,0.0820552,0.4285418,81.7258,39.0550,58.6081,0.9814638,-0.2923830,,,,,1559.9754,2025-02-04 08:00:00.600,22.51516,55.92055
1560.0308,2025-02-04 08:00:00.800,22.49924,276.64883,,,-0.3528141,-0.3920238,-0.8282268,-0.8016732,0.3885971,-0.1817062,86.9297,38.3222,59.0957,-0.4025183,-0.8664010,0.293569,0.092396,0.133567,0.547213,1559.9909,2025-02-04 08:00:00.800,22.49889,276.56747
1560.0365,2025-02-04 08:00:01.000,22.49095,223.26805,,,-0.3823611,-0.7482806,0.5703194,-0.7712464,-0.2682951,-0.3150672,86.0807,35.4149,58.2087,-0.7812166,0.6666851,,,,,1560.0193,2025-02-04 08:00:01.000,22.46208,223.02226
1560.0424,2025-02-04 08:00:01.200,22.49616,76.91237,,,-0.3956963,0.6903176,0.6253160,-0.7904172,-0.3091701,0.3370774,84.1042,38.9578,61.1390,0.7976454,0.7034787,,,,,1559.9964,2025-02-04 08:00:01.200,22.53857,76.98505
1560.0488,2025-02-04 08:00:01.400,22.51081,25.25893,,,-0.4118342,0.4942660,-0.8035130,-0.8244598,0.3902549,0.2116566,83.4334,43.1754,55.0626,0.4986677,-0.8305424,,,,,1560.0275,2025-02-04 08:00:01.400,22.51817,25.27934
1560.0538,2025-02-04 08:00:01.600,22.49793,243.92513,,,-0.3735818,-0.8842862,-0.2598994,-0.8082769,0.1093692,-0.4226782,85.1004,41.4636,59.2208,-0.9294245,-0.3007726,0.356802,0.094527,0.168758,0.672660,1560.0734,2025-02-04 08:00:01.600,22.49707,244.26508
1560.0607,2025-02-04 08:00:01.800,22.51410,168.85458,,,-0.3947568,-0.1295102,0.9014049,-0.8193085,-0.4701393,-0.0713679,84.2993,37.1276,52.7420,-0.1678165,0.9128015,,,,,1559.9477,2025-02-04 08:00:01.800,22.44774,168.49049
